"name","location","gps_coordinates","max_radioactivity","source_url","reading_source"
"Lüneburg - Kleine Bäckerstraße","Lüneburg - Kleine Bäckerstraße","53.247823,10.408994","0.4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1198.0.html","text"
"Maria Skłodowska-Curie Museum Warschau/Polen","Maria Skłodowska-Curie Museum Warschau/Polen","52.251531,21.00852","-","https://www.geigerzaehlerforum.de/index.php/topic,2849.0.html",""
"Mecklenburg Vorpommern. Rostocker Museumshafen","Mecklenburg Vorpommern. Rostocker Museumshafen","54.099274,13.386221","0.6 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2999.0.html",""
"Mehlinger Heide: Uranmunition?","Mehlinger Heide: Uranmunition?","49.487417,7.830513","-","https://www.geigerzaehlerforum.de/index.php/topic,1607.0.html",""
"Mehr als 6 Stunden zu Fuß durch die Zone, Video 8K, 2020","Mehr als 6 Stunden zu Fuß durch die Zone, Video 8K, 2020","39.256484,-105.103412","-","https://www.geigerzaehlerforum.de/index.php/topic,2431.0.html",""
"Menzenschwand Krunkelbach","Menzenschwand Krunkelbach","47.838313,8.050429","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1007.0.html","text"
"Mittenwald","Mittenwald","47.441778,11.261429","0.4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2686.0.html",""
"Münstertal","Münstertal","46.6685,10.531607","0.28","https://www.geigerzaehlerforum.de/index.php/topic,3161.0.html",""
"Musée Curie, Paris/Frankreich","Musée Curie, Paris/Frankreich","48.844238,2.344791","3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1929.0.html",""
"Museum Uranbergbau in Bad Schlema","Museum Uranbergbau in Bad Schlema","50.600071,12.67476","50 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2384.0.html","text"
"Naturhistorisches Museum Wien","Naturhistorisches Museum Wien","48.205269,16.359755","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2893.0.html","text"
"Neues Kernenergiemuseum nahe Prag","Neues Kernenergiemuseum nahe Prag","50.0864234,14.4156772","-","https://www.geigerzaehlerforum.de/index.php/topic,3115.0.html",""
"Neutronenquelle in Berlin Karlshorst","Neutronenquelle in Berlin Karlshorst","52.482451,13.533062","-","https://www.geigerzaehlerforum.de/index.php/topic,3150.0.html",""
"Nuklearunfall von Palomares (Spanien)","Nuklearunfall von Palomares (Spanien)","37.244021,-1.812965","-","https://www.geigerzaehlerforum.de/index.php/topic,1028.0.html",""
"ODL Großherrischwand","ODL Großherrischwand","47.681354,8.007872","-","https://www.geigerzaehlerforum.de/index.php/topic,2477.0.html",""
"Oranienburg","Oranienburg","52.743001,13.222016","70 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,168.0.html","text"
"ORF-Doku: Die unsichtbare Gefahr - Willkommen in Tschernobyl","ORF-Doku: Die unsichtbare Gefahr - Willkommen in Tschernobyl","49.282569,7.118741","-","https://www.geigerzaehlerforum.de/index.php/topic,335.0.html",""
"Örsi-Hügel, Balaton, Ungarn","Örsi-Hügel, Balaton, Ungarn","46.813132,17.527842","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3036.0.html","text"
"Osjorsk-Kyschtym-Kombinat Majak-Tetscha-Karatschai See-","Osjorsk-Kyschtym-Kombinat Majak-Tetscha-Karatschai See-","54.8560272,57.1402678","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1066.0.html","text"
"Österreich - Waldviertel","Österreich - Waldviertel","48.500856,15.381228","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,878.0.html","text"
"Österreich: Bodenbelastung durch Cs-137.","Österreich: Bodenbelastung durch Cs-137.","52.335451,5.316374","-","https://www.geigerzaehlerforum.de/index.php/topic,1915.0.html",""
"OT: Radium Palace als hotel?","OT: Radium Palace als hotel?","37.279397,14.992366","-","https://www.geigerzaehlerforum.de/index.php/topic,796.0.html",""
"Oybin","Oybin","50.842086,14.74301","-","https://www.geigerzaehlerforum.de/index.php/topic,3045.0.html",""
"Palaisplatz in Dresden","Palaisplatz in Dresden","51.060951,13.739162","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2287.0.html","text"
"Polizeifachschule Schneeberg/Erzgebirge","Polizeifachschule Schneeberg/Erzgebirge","50.574607,12.622817","-","https://www.geigerzaehlerforum.de/index.php/topic,3118.0.html",""
"Pribram","Pribram","49.690144,14.010366","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,321.0.html","text"
"Privates Mineralienmuseum in Mähring","Privates Mineralienmuseum in Mähring","-23.781356,-53.335289","167","https://www.geigerzaehlerforum.de/index.php/topic,2911.0.html",""
"Quellen des Fallouts zwischen 1960 und 2009 in sechs EU-Ländern","Quellen des Fallouts zwischen 1960 und 2009 in sechs EU-Ländern","50.596412,6.676813","-","https://www.geigerzaehlerforum.de/index.php/topic,1891.0.html",""
"Quellen mit Uran, Radium und Radon","Quellen mit Uran, Radium und Radon","50.04988,12.56552","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1765.0.html","text"
"Radioaktive Schwermineralsände am Strand von L`Espiguette (Camargue, Frankreich)","Radioaktive Schwermineralsände am Strand von L`Espiguette (Camargue, Frankreich)","45.350509050307856,36.46982817211595","1.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1231.0.html",""
"RADIONUKLIDE IN GRUNDWÄSSERN, GESTEINEN UND BACHSEDIMENTEN ÖSTERREICHS","RADIONUKLIDE IN GRUNDWÄSSERN, GESTEINEN UND BACHSEDIMENTEN ÖSTERREICHS","48.090573,13.21491","-","https://www.geigerzaehlerforum.de/index.php/topic,2459.0.html",""
"Radiumbrunnen Baden-Baden.","Radiumbrunnen Baden-Baden.","48.768599,8.254253","-","https://www.geigerzaehlerforum.de/index.php/topic,1739.0.html",""
"Radium-Quelle Břetislav bei Plesna (Radonquelle)","Radium-Quelle Břetislav bei Plesna (Radonquelle)","50.206349732743156,12.340415965606706","0.14 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2517.0.html",""
"Radiumquelle Crinitzberg","Radiumquelle Crinitzberg","50.570441,12.504933","","https://www.geigerzaehlerforum.de/index.php/topic,11.0.html",""
"Radiumquelle Hartmannsdorf","Radiumquelle Hartmannsdorf","50.593299,12.547904","","https://www.geigerzaehlerforum.de/index.php/topic,368.0.html",""
"Radiumquelle Rautenkranz","Radiumquelle Rautenkranz","50.457151,12.489735","","https://www.geigerzaehlerforum.de/index.php/topic,112.0.html",""
"Radiumquelle Rodaborn","Radiumquelle Rodaborn","50.759533,11.870750","","https://www.geigerzaehlerforum.de/index.php/topic,820.0.html",""
"Radiumquelle Stecklenberg/Harz","Radiumquelle Stecklenberg/Harz","51.729088,11.089737","","https://www.geigerzaehlerforum.de/index.php/topic,396.0.html",""
"Radiumquelle Steinbachtal bei Klingenthal","Radiumquelle Steinbachtal bei Klingenthal","50.394167,12.482028","0.18 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,31.0.html","text"
"Radiumquelle Thierberg","Radiumquelle Thierberg","50.442283,12.438728","0.42 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,12.0.html","text"
"Radiumquelle Wildbach im Poppenwald","Radiumquelle Wildbach im Poppenwald","50.63115,12.669761","","https://www.geigerzaehlerforum.de/index.php/topic,402.0.html",""
"Radiumquelle Wunderthausen","Radiumquelle Wunderthausen","51.11296,8.540555","","https://www.geigerzaehlerforum.de/index.php/topic,480.0.html",""
"Radiumquelle Zell am Harmersbach","Radiumquelle Zell am Harmersbach","48.361764,8.066845","","https://www.geigerzaehlerforum.de/index.php/topic,1197.0.html",""
"Radonhaltige Quelle in Berga","Radonhaltige Quelle in Berga","42.101146,1.845476","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,25.0.html","text"
"Radonstollen Bad Kreuznach","Radonstollen Bad Kreuznach","49.8395,7.8514","","https://www.geigerzaehlerforum.de/index.php/topic,1617.0.html",""
"Ramsar Iran","Ramsar Iran","36.842139,50.587302","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1501.0.html","text"
"Reise mit privatem Guide nach Chernobyl/Pripjat April/Mai 2020","Reise mit privatem Guide nach Chernobyl/Pripjat April/Mai 2020","51.408148,30.0644729","1000 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,170.0.html","text-auto"
"Reise nach Osteuropa","Reise nach Osteuropa","50.7637845,15.8460054","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1755.0.html","text"
"Revier Zobes Schacht 294?","Revier Zobes Schacht 294?","50.498313,12.254644","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1734.0.html","text"
"Rotschlammdeponie Stade","Rotschlammdeponie Stade","53.64060,9.41903","0.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1691.0.html","text"
"Rožná / Bukov Uran Minen","Rožná / Bukov Uran Minen","48.702559,20.506388","","https://www.geigerzaehlerforum.de/index.php/topic,1958.0.html",""
"Sanierung Collmberghalde bei Freital","Sanierung Collmberghalde bei Freital","51.016265,13.6530329","0.667 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1024.0.html","text"
"S-Bahnhof Griebnitzsee","S-Bahnhof Griebnitzsee","52.394878,13.128428","","https://www.geigerzaehlerforum.de/index.php/topic,2698.0.html",""
"Schacht 235 ""Weißer Hirsch"" bei Antonsthal","Schacht 235 ""Weißer Hirsch"" bei Antonsthal","50.5024479,12.7576462","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2302.0.html","text"
"Schacht 254 Streuberg / Bergen","Schacht 254 Streuberg / Bergen","60.394306,5.325919","","https://www.geigerzaehlerforum.de/index.php/topic,1805.0.html",""
"Schacht 318 bei Crandorf","Schacht 318 bei Crandorf","50.50347,12.78151","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2107.0.html","text"
"Schacht Westende, Duisburg","Schacht Westende, Duisburg","51.49385,6.789982","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2130.0.html","text"
"Schneckenstein","Schneckenstein","50.411911,12.447481","100 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,111.0.html","text"
"Schowti Wody (Жо́вті Во́ди), Ukraine","Schowti Wody (Жо́вті Во́ди), Ukraine","48.346517,33.50278","40 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,442.0.html","text"
"Schramberg und Umgebung","Schramberg und Umgebung","48.226507,8.421747","4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,267.0.html","text"
"Schwarzachklamm","Schwarzachklamm","49.351371,11.230641","0.07 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2486.0.html","text"
"Sellafield (Windscale) UK","Sellafield (Windscale) UK","54.424457,-3.500208","","https://www.geigerzaehlerforum.de/index.php/topic,1406.0.html",""
"Sinsheim- Technikmuseum","Sinsheim- Technikmuseum","49.238832,8.8973","","https://www.geigerzaehlerforum.de/index.php/topic,3081.0.html",""
"Site A/Plot M Disposal Site","Site A/Plot M Disposal Site","38.703406,-77.199799","","https://www.geigerzaehlerforum.de/index.php/topic,1036.0.html",""
"Sonderwaffenlager Lychen II Himmelpfort","Sonderwaffenlager Lychen II Himmelpfort","53.175127,13.282508","","https://www.geigerzaehlerforum.de/index.php/topic,920.0.html",""
"Sonderwaffenlager Vogelsang bei Zehdenick","Sonderwaffenlager Vogelsang bei Zehdenick","52.9794838,13.3348959","","https://www.geigerzaehlerforum.de/index.php/topic,953.0.html",""
"Špindlerův Mlýn (Spindlermühle) im Riesengebirge","Špindlerův Mlýn (Spindlermühle) im Riesengebirge","50.725645,15.606757","20 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2316.0.html","text"
"Sportplatz Kleinnaundorf","Sportplatz Kleinnaundorf","50.997850,13.684667","1.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,721.0.html","text"
"Steinbruch bei  Hösbach","Steinbruch bei  Hösbach","52.233238,10.738495","","https://www.geigerzaehlerforum.de/index.php/topic,2079.0.html",""
"Steinbruch Jenikov Lahost","Steinbruch Jenikov Lahost","50.63087,13.758104","","https://www.geigerzaehlerforum.de/index.php/topic,165.0.html",""
"Steinbruch Knaupsholz","Steinbruch Knaupsholz","51.76774796426002,10.721872832791771","0.35 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1463.0.html","text"
"Stolln Jägersgrün","Stolln Jägersgrün","50.4446981,12.4749101","2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2874.0.html","text"
"Strahlender Affe","Strahlender Affe","49.126193,10.866993","","https://www.geigerzaehlerforum.de/index.php/topic,2398.0.html",""
"Strand von Dounreay","Strand von Dounreay","29.838505,-95.656108","","https://www.geigerzaehlerforum.de/index.php/topic,616.0.html",""
"Strand von Guarapari (Brasilien)","Strand von Guarapari (Brasilien)","-23.750836,-46.745146","","https://www.geigerzaehlerforum.de/index.php/topic,1349.0.html",""
"Straße zwischen Brunn und Reuth","Straße zwischen Brunn und Reuth","50.660949,12.323088","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,946.0.html","text"
"Straße zwischen Buchwald und Limbach (Vogtland)","Straße zwischen Buchwald und Limbach (Vogtland)","50.586366,12.266571","2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1133.0.html","text"
"Straße zwischen Dänkritz und Lauenhain","Straße zwischen Dänkritz und Lauenhain","50.788671,12.416699","70 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,433.0.html","text"
"Straße zwischen Gosel und Frankenhausen","Straße zwischen Gosel und Frankenhausen","51.3560142,11.1005235","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,178.0.html","text"
"Straßendreieck bei Berga/Elster","Straßendreieck bei Berga/Elster","50.738693,12.155995","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,26.0.html","text"
"Stuttgarter Königstraße","Stuttgarter Königstraße","48.778242,9.178077","0.867 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,992.0.html","text"
"Suche nach Atommüllendlager in Tschechien","Suche nach Atommüllendlager in Tschechien","49.743905,15.338106","","https://www.geigerzaehlerforum.de/index.php/topic,374.0.html",""
"Sylt.","Sylt.","54.902662,8.331149","8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2769.0.html","text"
"Tammiku / Paldiski (Estland)","Tammiku / Paldiski (Estland)","59.349089,24.080174","","https://www.geigerzaehlerforum.de/index.php/topic,1944.0.html",""
"Tännichtgrund zwischen Meißen und Dresden","Tännichtgrund zwischen Meißen und Dresden","51.1630871,13.4704939","0.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2363.0.html","text"
"Telemark Norwegen","Telemark Norwegen","59.396268,8.66266","","https://www.geigerzaehlerforum.de/index.php/topic,1819.0.html",""
"Teplitz, Burg Daubersberg","Teplitz, Burg Daubersberg","50.638446805556,13.860296222222","4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,934.0.html","text"
"Testgelände Semipalatinsk","Testgelände Semipalatinsk","52.385716,7.311201","","https://www.geigerzaehlerforum.de/index.php/topic,1021.0.html",""
"Three Mile Island","Three Mile Island","40.153302,-76.724437","","https://www.geigerzaehlerforum.de/index.php/topic,2199.0.html",""
"Tokaimura","Tokaimura","36.458573,140.57427","","https://www.geigerzaehlerforum.de/index.php/topic,1207.0.html",""
"U-Bahnhof Potsdamer Platz","U-Bahnhof Potsdamer Platz","52.509159,13.378215","70 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1142.0.html","text"
"Übung in radioaktiv verseuchter Zone Häuserkampf in Tschernobyl","Übung in radioaktiv verseuchter Zone Häuserkampf in Tschernobyl","51.3076238,29.8984972","","https://www.geigerzaehlerforum.de/index.php/topic,950.0.html",""
"Uranerzaufbereitungsanlage Ellweiler / Rheinland-Pfalz","Uranerzaufbereitungsanlage Ellweiler / Rheinland-Pfalz","49.615075,7.14497","0.9 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,665.0.html","text"
"Uranhaltige Halden in Wittichen-Schenkenzell in BW","Uranhaltige Halden in Wittichen-Schenkenzell in BW","48.338161,8.343435","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,124.0.html","text"
"Uranium City","Uranium City","59.560921,-108.483032","","https://www.geigerzaehlerforum.de/index.php/topic,2008.0.html",""
"Uranium Washington (state)","Uranium Washington (state)","47.941941,-118.0962","","https://www.geigerzaehlerforum.de/index.php/topic,1940.0.html",""
"Uranmine – Kővágószőlős, Ungarn","Uranmine – Kővágószőlős, Ungarn","46.082967,18.125067","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3141.0.html","text"
"Uranversuchsabbau in Müllenbach bei Baden-Baden","Uranversuchsabbau in Müllenbach bei Baden-Baden","48.743572,8.293964","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,126.0.html","text"
"VEB Chemiekombinat Bitterfeld","VEB Chemiekombinat Bitterfeld","51.650423,12.289063","","https://www.geigerzaehlerforum.de/index.php/topic,2181.0.html",""
"verrückter Geigerzähler im Jonastal","verrückter Geigerzähler im Jonastal","50.8171919,10.8650508","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,856.0.html","text"
"Versuchslabor Stadtilm","Versuchslabor Stadtilm","50.600748,6.802732","","https://www.geigerzaehlerforum.de/index.php/topic,761.0.html",""
"Vogesen, Frankreich","Vogesen, Frankreich","48.2393,7.3390","","https://www.geigerzaehlerforum.de/index.php/topic,407.0.html",""
"Vorschläge für Prag","Vorschläge für Prag","50.102222,14.39063","","https://www.geigerzaehlerforum.de/index.php/topic,2511.0.html",""
"Wald bei Behringersdorf (Nürnberg)","Wald bei Behringersdorf (Nürnberg)","49.484541,11.201938","0.65 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2500.0.html","text"
"Waldbrand in Tschernobyl","Waldbrand in Tschernobyl","49.282569,7.118741","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,322.0.html","text"
"Washout-Hotspot bei Magdeburg?","Washout-Hotspot bei Magdeburg?","52.1314783,11.6400789","","https://www.geigerzaehlerforum.de/index.php/topic,354.0.html",""
"Weinböhla: Ehemalige Radon-Quelle an der Laubenhöhe","Weinböhla: Ehemalige Radon-Quelle an der Laubenhöhe","51.566628,10.175014","0.22 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2309.0.html","text"
"Weißenstadt ehem. Uranabbau","Weißenstadt ehem. Uranabbau","50.078919,11.886211","","https://www.geigerzaehlerforum.de/index.php/topic,732.0.html",""
"Wettinquelle in Bad Brambach","Wettinquelle in Bad Brambach","50.221737,12.299518","","https://www.geigerzaehlerforum.de/index.php/topic,21.0.html",""
"Wien: Altstandort Glühstrumpf-Fabrik Auer von Welsbach","Wien: Altstandort Glühstrumpf-Fabrik Auer von Welsbach","48.155602,16.313353","1.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2730.0.html","text"
"Wiese zwischen Gauern und Wolfersdorf","Wiese zwischen Gauern und Wolfersdorf","6.019,37.866","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,15.0.html","text"
"Wiesenquelle in Bad Schlema","Wiesenquelle in Bad Schlema","50.594635,12.6645156","","https://www.geigerzaehlerforum.de/index.php/topic,19.0.html",""
"WISMUT-Bohrung(?) im Werdauer Wald","WISMUT-Bohrung(?) im Werdauer Wald","50.714294,12.258527","0.6 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,47.0.html","text"
"WISMUT-Schotter: DREWS-Brache in Meerane","WISMUT-Schotter: DREWS-Brache in Meerane","9.587791,76.523821","","https://www.geigerzaehlerforum.de/index.php/topic,391.0.html",""
"Wismutsee bei Steinach","Wismutsee bei Steinach","49.452815,10.275598","20 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,16.0.html","text"
"Wölsendorf (Oberpfalz)","Wölsendorf (Oberpfalz)","49.413142,12.136316","0.9 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,456.0.html","text"
"Zalesi /Javornik","Zalesi /Javornik","50.359837,16.932873","","https://www.geigerzaehlerforum.de/index.php/topic,166.0.html",""
"Zwischenlager Rossendorf (ZLR)","Zwischenlager Rossendorf (ZLR)","51.54231,14.124659","1.378 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2936.0.html","text"
